start,finish,ID,activity
0,9,2,loading
9,18,2,hauling
9,19,0,loading
18,27,2,dumping
19,29,0,hauling
19,34,1,loading
27,36,2,initiating new cycle
29,39,0,dumping
34,49,1,hauling
36,45,2,loading
39,49,0,initiating new cycle
45,54,2,hauling
49,59,0,loading
49,64,1,dumping
49,59,0,hauling
49,64,1,initiating new cycle
54,63,2,dumping
59,69,0,dumping
59,69,0,initiating new cycle
